     bed      year
      4.7        80
      3.9        80
      4.4        80
      4.4        80
      3.8        80
      3.5        80
      4.5        80
      4.2        80
      4.8        80
      4.7        80
      4.5        80
      5.1        80
      4.4        80
      4.9        80
      5.7        80
      5.7        80
      5.7        80
      7.4        80
      5.5        80
        6        80
      5.8        80
      3.6        80
      3.6        80
      7.3        80
      4.1        80
      5.5        80
      4.2        80
      3.9        80
      4.6        80
      5.1        80
      4.5        80
      5.5        80
      5.1        80
      5.3        80
        5        80
      4.8        80
      4.6        80
      4.7        80
      5.9        80
      3.7        80
      3.6        80
      4.2        80
      3.1        80
      3.6        80
      3.1        80
      4.2        80
      3.1        80
      3.5        80
      3.6        80
      2.7        80
      3.1        80
      4.2        86
      3.3        86
        4        86
      4.3        86
      3.5        86
      3.1        86
      4.3        86
      3.9        86
      4.6        86
      4.4        86
      4.2        86
      4.5        86
        4        86
      4.5        86
        5        86
      5.2        86
      5.1        86
      7.2        86
      6.5        86
      5.9        86
        5        86
      3.4        86
      3.3        86
      7.7        86
      3.7        86
      5.1        86
      3.5        86
      3.4        86
      4.3        86
      4.4        86
      4.4        86
      5.3        86
        5        86
      5.2        86
      4.7        86
      4.5        86
        4        86
      3.8        86
      5.7        86
      3.3        86
      4.4        86
      3.5        86
      2.9        86
      3.1        86
      2.7        86
      3.7        86
        3        86
      3.1        86
      3.1        86
      2.4        86
      2.6        86
