    year   stillborn   0-6days  7-27days  28-365days
     1958       16.1       15.1        3.6       12.3
     1959       16.3       14.4        3.4       11.2
     1960         17       14.3        3.3        9.6
     1961       16.2       13.6        2.9        9.9
     1962       16.1       13.7        2.8        8.8
     1963         16       13.4          3        8.3
     1964       15.5       13.2        2.5        7.3
     1965       15.2       12.6        2.4        6.6
     1966         15       12.3        2.4        6.7
     1967       14.7       12.1        2.2        6.1
     1968       14.1       11.6        2.5          6
     1969         14       11.1        2.4        5.8
     1970       13.3       10.1        2.4        5.5
     1971       12.9        9.6        2.2        5.1
     1972       12.3          9        2.1        4.8
     1973       12.1        8.2        2.2        4.8
     1974       11.5        7.7        2.1        4.7
     1975       10.9        7.3        1.9        4.4
     1976       10.3        6.3        1.7        4.4
     1977        9.9        5.8        1.6        3.9
     1978        9.6        5.2        1.5          4
     1979        9.2        4.8        1.3          4
     1980        8.6        4.4        1.4        4.3
     1981        8.2        4.2        1.3        4.2
