    year       rate
     1940      59.21
     1941      51.14
     1942      44.86
     1943      40.64
     1944      43.37
     1945      47.38
     1946      34.71
     1947      10.54
     1948       6.58
     1949       2.79
     1950       1.44
     1951       3.65
     1952       4.51
     1953        .83
     1954        .44
     1955        .32
     1956        .14
     1957        .08
     1958        .05
     1959        .04
     1960        .04
     1961        .04
     1962        .06
     1963        .05
     1964        .05
     1965        .08
     1966        .29
     1967       1.02
     1968       1.16
     1969       1.54
     1970        1.5
     1971       1.15
     1972        .36
     1973        .11
     1974        .14
     1975        .18
     1976        .22
     1977        .25
     1978        .34
     1979        .41
     1980        .91
     1981        .61
     1982        .46
     1983        .35
     1984        .43
     1985        .44
     1986        .47
     1987        .39
     1988        .45
     1989        .51
