 continent     rate
 "Africa"        105
 "Africa"         98
 "Africa"         86
 "Africa"        170
 "Africa"         43
 "Africa"         74
 "Africa"         94
 "Africa"        144
 "Africa"         99
 "Africa"         84
 "Africa"         53
 "Africa"        125
 "Africa"        122
 "Africa"        108
 "Africa"         82
 "Africa"        167
 "Africa"        135
 "Africa"        146
 "Africa"         90
 "Africa"         50
 "Africa"         91
 "Africa"        111
 "Africa"        143
 "Africa"         45
 "Africa"         20
 "Africa"        131
 "Africa"         62
 "Africa"        100
 "Africa"        108
 "Africa"        101
 "Africa"         60
 "Africa"        123
 "Africa"        110
 "Africa"        123
 "Africa"        123
 "Africa"         60
 "Africa"        121
 "Africa"        141
 "Africa"         51
 "Africa"        191
 "Africa"         88
 "Africa"         96
 "Africa"         95
   "Asia"         65
   "Asia"         35
   "Asia"         27
   "Asia"         64
   "Asia"         90
   "Asia"          4
   "Asia"         97
   "Asia"         56
   "Asia"         71
   "Asia"        131
   "Asia"         20
   "Asia"         34
   "Asia"        107
   "Asia"         70
   "Asia"        117
   "Asia"         25
   "Asia"        165
   "Asia"         44
   "Asia"         15
   "Asia"         95
   "Asia"         46
   "Asia"          6
   "Asia"         98
   "Asia"         35
   "Asia"          8
   "Asia"         35
   "Asia"         72
   "Asia"         37
   "Asia"         49
   "Asia"         83
   "Asia"          6
   "Asia"         83
   "Asia"         70
   "Asia"         61
   "Asia"         43
   "Asia"         14
 "Europe"          8
 "Europe"         11
 "Europe"          6
 "Europe"          6
 "Europe"          7
 "Europe"         15
 "Europe"         12
 "Europe"          8
 "Europe"          6
 "Europe"         20
 "Europe"          7
 "Europe"          7
 "Europe"         11
 "Europe"         28
 "Europe"         16
 "Europe"         21
 "Europe"          8
 "Europe"          7
 "Europe"         29
 "Europe"          6
 "Europe"          9
 "Europe"         19
 "Europe"         17
 "Europe"          7
 "Europe"         14
 "Europe"         22
 "Europe"          5
 "Europe"          7
 "Europe"         28
 "Europe"         23
 "Europe"         37
 "Europe"         25
