 age  dthrate/100,000
    0       1260
    1         93
    2         65
    3         50
    4         40
    5         37
    6         33
    7         30
    8         27
    9         23
   10         20
   11         19
   12         25
   13         37
   14         53
   15         69
   16         83
   17         95
   18        105
   19        112
   20        120
   21        127
   22        132
   23        134
   24        133
   25        132
   26        131
   27        130
   28        130
   29        131
   30        133
   31        134
   32        137
   33        142
   34        150
   35        159
   36        170
   37        183
   38        197
   39        213
   40        232
   41        254
   42        279
   43        306
   44        335
   45        366
   46        401
   47        442
   48        488
   49        538
   50        589
   51        642
   52        699
   53        761
   54        830
   55        902
   56        978
   57       1059
   58       1151
   59       1254
   60       1368
   61       1493
   62       1628
   63       1767
   64       1911
   65       2059
   66       2216
   67       2389
   68       2585
   69       2806
   70       3052
   71       3315
   72       3593
   73       3882
   74       4184
   75       4507
   76       4867
   77       5274
   78       5742
   79       6277
   80       6882
   81       7552
   82       8278
   83       9041
   84       9852
   85      10725
   86      11712
   87      12717
   88      13708
   89      14728
