  hospital       status
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
