     1980         1982
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
