birthrt           gnp
      51           300
      51           610
      45            80
      52           280
      48           210
      43           180
      51           460
      55           230
      52           270
      51           280
      47           450
      50           150
      44           210
      42           120
      49           120
      46           510
      47           420
      40           180
      45           340
      48           230
      51           170
      39           200
      46           210
      45           390
      49           520
      48           100
      42           400
      45           210
      42           420
      42          3780
      35           580
      47           290
      49           380
      43           720
      45           220
      41           400
      45           410
      35           370
      38           180
      39           220
      50           690
      29           330
      35           650
      41           850
      33           220
      27           610
      45          1120
      42          5310
      36          1700
      28          1780
      41           650
      41          1050
      39          1500
      34           780
      43          1460
      34           830
      39           930
      41           460
      44           340
      34          1980
      31          2560
      34          1350
      24          2940
      29          1070
      34          1080
      33          1030
      30          1550
      31           730
      30          1000
      39          2530
      37           580
      40          2170
      32           610
      26          1670
      29           940
      21          2470
      29           240
      27          2150
      21           370
      36          7820
      43          1160
      27          1500
      16          2170
      23           790
      23          2150
      33          1270
      24           970
      28          3030
      21          1570
      12          3220
      41          6120
      39          1050
      15          1640
      16          1390
      14          3410
      12          2340
      20          2790
      14          3830
      18          2410
      26          2730
      13          3110
      24          3670
      21         19860
      17          2840
      14          3060
      24          1260
      15          2710
      25          2130
      13          1840
      21           500
      29          2520
      23          2160
      28         16150
      14          1790
      12          2720
      27          1850
      22          1380
      12          5930
      17          1170
      21         11950
      12         18950
      16         22240
      17         12350
      10         18520
      11         12450
      10          6340
      16          6330
      12         20140
      14         20380
      14         16550
      15         17050
      13         33610
      11         23650
      14         20440
      12         23700
      15         24220
      14         18780
      14         25110
      13         13430
      16         14210
      13         23980
      11         26930
      15         11120
