*year   homicide     police      unemp   register     weekly
 1961        8.6     260.35         11     215.98     117.18
 1962        8.9      269.8          7     180.48     134.02
 1963       8.52     272.04        5.2     209.57     141.68
 1964       8.89     272.96        4.3     231.67     147.98
 1965      13.07     272.51        3.5     297.65     159.85
 1966      14.57     261.34        3.2     367.62     157.19
 1967      21.36     268.89        4.1     616.54     155.29
 1968      28.03     295.99        3.9    1029.75     131.75
 1969      31.49     319.87        3.6     786.23     178.74
 1970      37.39     341.43        7.1     713.77      178.3
 1971      46.26     356.59        8.4     750.43     209.54
 1972      47.24     376.69        7.7    1027.38     240.05
 1973      52.33     390.19        6.3      666.5     258.05
