Date,Won,Crimes
2010-01-12,W,
2010-02-11,W,
2010-02-12,W,
2010-03-11,W,
2010-03-12,W,
2010-04-12,L,
2010-05-11,W,
2010-05-12,W,
2010-06-11,L,
2010-07-11,W,
2010-07-12,W,
2010-08-11,L,
2010-08-12,W,
2010-09-10,L,
2010-09-12,W,
2010-10-10,W,
2010-10-11,W,
2010-10-16,W,
2010-10-19,W,
2010-10-21,W,
2010-10-23,L,
2010-10-26,W,
2010-10-27,L,
2010-10-28,W,
2010-10-29,W,
2010-10-30,W,
2010-11-11,W,
2010-11-12,W,
2010-11-13,W,
2010-11-15,W,
2010-11-17,W,
2010-11-18,W,
2010-11-19,L,
2010-11-20,L,
2010-11-21,L,
2010-11-22,W,
2010-11-24,W,
2010-11-26,W,
2010-11-28,L,
2010-11-30,W,
2010-12-15,W,
2010-12-16,W,
2010-12-18,W,
2010-12-19,W,
2010-12-20,L,
2010-12-22,W,
2010-12-23,W,
2010-12-25,L,
2010-12-27,W,
2010-12-28,W,
2010-12-29,L,
2010-12-30,L,
2010-12-31,L,
2011-01-01,L,
2011-01-02,W,
2011-01-03,W,
2011-01-04,L,
2011-01-05,W-wo,
2011-01-06,L,
2011-01-07,W,
2011-01-08,L,
2011-01-09,L,
2011-01-11,W,
2011-01-13,W,
2011-01-14,W,
2011-01-15,L,
2011-01-16,L,
2011-01-17,W,
2011-01-18,W,
2011-01-19,W,
2011-01-20,L,
2011-01-21,W,
2011-01-22,L,
2011-01-24,L,
2011-01-25,W,
2011-01-26,W,
2011-01-27,W,
2011-01-28,L,
2011-01-30,W,
2011-02-01,W,
2011-02-03,W,
2011-02-04,L,
2011-02-05,W,
2011-02-07,W,
2011-02-08,W-wo,
2011-02-09,L,
2011-02-10,W,
2011-02-13,W,
2011-02-15,L,
2011-02-16,W,
2011-02-17,W,
2011-02-18,W,
2011-02-22,W,
2011-02-24,L,
2011-02-26,W,
2011-02-27,W,
2011-02-28,W,
2011-03-01,W,
2011-03-02,W,
2011-03-03,W,
2011-03-04,L,
2011-03-05,W,
2011-03-06,W,
2011-03-07,W,
2011-03-08,W-wo,
2011-03-09,W,
2011-03-12,W,
2011-03-13,W,
2011-03-14,L,
2011-03-15,W,
2011-03-16,W,
2011-03-17,L,
2011-03-18,L,
2011-03-19,W,
2011-03-21,W,
2011-03-22,W,
2011-03-23,L,
2011-03-24,W,
2011-03-25,L,
2011-03-26,L,
2011-03-27,W,
2011-03-28,L,
2011-03-29,W,
2011-03-31,W,
2011-04-02,L,
2011-04-03,W,
2011-04-04,L,
2011-04-05,L,
2011-04-06,W-wo,
2011-04-07,L,
2011-04-08,L,
2011-04-09,L,
2011-04-12,W,
2011-04-13,W,
2011-04-14,L,
2011-04-15,L,
2011-04-16,W,
2011-04-17,W,
2011-04-18,W,
2011-04-19,L,
2011-04-20,W,
2011-04-21,W,
2011-04-22,W,
2011-04-23,W,
2011-04-24,W,
2011-04-26,L,
2011-04-27,L,
2011-04-28,W,
2011-04-29,L,
2011-04-30,L,
2011-05-01,W,
2011-05-02,L,
2011-05-03,L,
2011-05-04,L,
2011-05-05,L,
2011-05-06,W,
2011-05-07,W,
2011-05-08,L,
2011-05-09,L-wo,
2011-05-11,W,
2011-05-12,W,
2011-05-13,W,
2011-05-14,W,
2011-05-15,W,
2011-05-16,W-wo,
2011-05-17,W,
2011-05-18,W,
2011-05-19,W-wo,
2011-05-20,W,
