Date,W/L
,
Thursday Mar 29,L
Friday Mar 30,W
Saturday Mar 31,W
Sunday Apr 1,W
Monday Apr 2,W
Tuesday Apr 3,W
Thursday Apr 5,W-wo
Saturday Apr 7,W
Sunday Apr 8,W
Tuesday Apr 10,W
Wednesday Apr 11,L
Thursday Apr 12,W
Friday Apr 13,W
Saturday Apr 14,W
Sunday Apr 15,W
Tuesday Apr 17,W
Wednesday Apr 18,W
Thursday Apr 19,W
Friday Apr 20,W
Saturday Apr 21,L
Sunday Apr 22,L
Tuesday Apr 24,L-wo
Wednesday Apr 25,W
Thursday Apr 26,W
Friday Apr 27,L
Saturday Apr 28,L
Sunday Apr 29,W
Monday Apr 30,W
Tuesday May 1,L
Wednesday May 2,W
Thursday May 3,L
Friday May 4,W
Saturday May 5,W
Sunday May 6,W
Tuesday May 8,L
Wednesday May 9,L
Thursday May 10,W
Friday May 11,L-wo
Saturday May 12,W
Sunday May 13,W
Monday May 14,L
Tuesday May 15,L
Wednesday May 16,W
Thursday May 17,W
Friday May 18,L
Saturday May 19,W
Sunday May 20,W
Tuesday May 22,W
Wednesday May 23,W
Thursday May 24,L
Friday May 25,W
Saturday May 26,W
Sunday May 27,L
Monday May 28,W
Tuesday May 29,W
Wednesday May 30,W
Thursday May 31,L
Friday Jun 1,L
Saturday Jun 2,W
Sunday Jun 3,W
Tuesday Jun 5,W
Wednesday Jun 6,W
Thursday Jun 7,L
Friday Jun 8,L
Saturday Jun 9,W
Sunday Jun 10,L
Monday Jun 11,W
Tuesday Jun 12,W
Wednesday Jun 13,W
Thursday Jun 14,W
Friday Jun 15,L
Saturday Jun 16,L
Sunday Jun 17,W
Tuesday Jun 19,L
Wednesday Jun 20,L
Thursday Jun 21,W
Friday Jun 22,W
Saturday Jun 23,L
Sunday Jun 24,W
Tuesday Jun 26,W
Wednesday Jun 27,W
Thursday Jun 28,W
Friday Jun 29,L
Saturday Jun 30,W
Sunday Jul 1,L
Monday Jul 2,W
Tuesday Jul 3,W
Wednesday Jul 4,W
Friday Jul 6,W
Saturday Jul 7,W
Sunday Jul 8,W
Monday Jul 9,W
Tuesday Jul 10,W
Wednesday Jul 11,W
Thursday Jul 12,W
Friday Jul 13,L
Saturday Jul 14,W-wo
Sunday Jul 15,W
Friday Jul 20,W
Saturday Jul 21,L
Sunday Jul 22,W
Monday Jul 23,W
Tuesday Jul 24,L
Thursday Jul 26,L
Friday Jul 27,W-wo
Saturday Jul 28,W
Sunday Jul 29,W
Monday Jul 30,W-wo
Tuesday Jul 31,L
Thursday Aug 2,W
Friday Aug 3,W
Saturday Aug 4,W
Sunday Aug 5,W-wo
Tuesday Aug 7,W
Wednesday Aug 8,W
Thursday Aug 9,L
Friday Aug 10,W
Saturday Aug 11 (1),W
Saturday Aug 11 (2),W
Sunday Aug 12,W
Tuesday Aug 14,W
Wednesday Aug 15,L
Friday Aug 17,W
Saturday Aug 18,W
Sunday Aug 19,L
Monday Aug 20,L
Tuesday Aug 21,L
Wednesday Aug 22,W
Thursday Aug 23,W
Friday Aug 24,L
Saturday Aug 25,L
Sunday Aug 26,L
Tuesday Aug 28,W-wo
Wednesday Aug 29,W
Thursday Aug 30,W
Friday Aug 31,L
Saturday Sep 1,W
Sunday Sep 2,L
Monday Sep 3,W
Tuesday Sep 4,W
Wednesday Sep 5,W
Friday Sep 7,L
Saturday Sep 8,L
Sunday Sep 9,W-wo
Tuesday Sep 11,W
Wednesday Sep 12,W
Thursday Sep 13,W
Friday Sep 14,L
Saturday Sep 15,W
Sunday Sep 16,W
Tuesday Sep 18,L
Wednesday Sep 19,L
Thursday Sep 20,W
Friday Sep 21,W
Saturday Sep 22,L-wo
Sunday Sep 23,L-wo
Monday Sep 24,W
Wednesday Sep 26 (1),W
Wednesday Sep 26 (2),L
Friday Sep 28,L
Saturday Sep 29,L
Sunday Sep 30,W
