Thursday Mar 28,L
Friday Mar 29,W
Saturday Mar 30,L
Sunday Mar 31,L
Monday Apr 1,L
Tuesday Apr 2,L
Wednesday Apr 3,W
Thursday Apr 4,L
Friday Apr 5,L
Saturday Apr 6,L-wo
Sunday Apr 7,W
Tuesday Apr 9,L
Thursday Apr 11,W-wo
Friday Apr 12,W
Saturday Apr 13,L
Sunday Apr 14,W
Monday Apr 15,L
Tuesday Apr 16,L
Wednesday Apr 17,L
Friday Apr 19,W
Saturday Apr 20,W
Sunday Apr 21,W
Tuesday Apr 23 (1),L
Tuesday Apr 23 (2),L
Wednesday Apr 24,W
Thursday Apr 25,W
Saturday Apr 27,L
Sunday Apr 28,L
Monday Apr 29,W
Tuesday Apr 30,W
Wednesday May 1,W
Thursday May 2,L-wo
Friday May 3,W
Saturday May 4,W
Sunday May 5,W
Monday May 6,L
Tuesday May 7,W
Wednesday May 8,W
Friday May 10,W
Saturday May 11,W
Sunday May 12,W
Tuesday May 14,L
Wednesday May 15,W-wo
Friday May 17,L
Saturday May 18,L
Sunday May 19,W
Monday May 20,W
Tuesday May 21,L
Wednesday May 22,W
Thursday May 23,W
Friday May 24,L
Saturday May 25,L-wo
Sunday May 26,W
Monday May 27,W
Tuesday May 28,L
Wednesday May 29,L
Friday May 31,L
Saturday Jun 1,L
Sunday Jun 2,W
Tuesday Jun 4,W
Wednesday Jun 5,W
Thursday Jun 6,W
Friday Jun 7,L
Saturday Jun 8 (1),L
Saturday Jun 8 (2),W
Sunday Jun 9,L
Monday Jun 10,L
Tuesday Jun 11,L
Wednesday Jun 12,W-wo
Thursday Jun 13,W
Friday Jun 14,W
Saturday Jun 15,W
Sunday Jun 16,W
Monday Jun 17,W
Tuesday Jun 18,L-wo
Wednesday Jun 19,W
Friday Jun 21,W-wo
Saturday Jun 22,L
Sunday Jun 23,L
Monday Jun 24,W-wo
Tuesday Jun 25,W
Wednesday Jun 26,L
Saturday Jun 29,L
Sunday Jun 30,L
Tuesday Jul 2,W
Wednesday Jul 3,L
Thursday Jul 4,W
Friday Jul 5,W
Saturday Jul 6,W
Sunday Jul 7,W
Friday Jul 12,W
Saturday Jul 13,L
Sunday Jul 14,L
Monday Jul 15,W
Tuesday Jul 16,L
Wednesday Jul 17,W
Thursday Jul 18,W
Friday Jul 19,L
Saturday Jul 20,W
Sunday Jul 21,L
Monday Jul 22,W
Tuesday Jul 23,W
Wednesday Jul 24,L
Thursday Jul 25,W
Friday Jul 26,W
Saturday Jul 27,W
Sunday Jul 28,L
Tuesday Jul 30,L
Wednesday Jul 31,L
Thursday Aug 1,L
Friday Aug 2,L
Saturday Aug 3 (1),L
Saturday Aug 3 (2),L
Sunday Aug 4,L
Monday Aug 5,W
Tuesday Aug 6,L
Wednesday Aug 7,W-wo
Thursday Aug 8,W
Friday Aug 9,W
Saturday Aug 10,L
Sunday Aug 11,L
Monday Aug 12,L-wo
Tuesday Aug 13,W
Wednesday Aug 14,W
Friday Aug 16,W
Saturday Aug 17,W
Sunday Aug 18,W
Tuesday Aug 20,L
Wednesday Aug 21,L
Friday Aug 23,W
Saturday Aug 24,W
Sunday Aug 25,L
Tuesday Aug 27,W
Wednesday Aug 28,W
Friday Aug 30,W
Saturday Aug 31,L
Sunday Sep 1,W
Tuesday Sep 3,L
Wednesday Sep 4,W
Thursday Sep 5,L
Friday Sep 6,W
Saturday Sep 7,L
Sunday Sep 8,L
Monday Sep 9,L
Tuesday Sep 10,L
Wednesday Sep 11,L
Thursday Sep 12,W
Saturday Sep 14,W
Sunday Sep 15,W
Tuesday Sep 17,L
Wednesday Sep 18,L
Thursday Sep 19,W
Friday Sep 20,L-wo
Saturday Sep 21,L-wo
Sunday Sep 22,W
Monday Sep 23,L
Tuesday Sep 24,W
Wednesday Sep 25,W
Thursday Sep 26,L
Friday Sep 27,L
Saturday Sep 28,L
Sunday Sep 29,W-wo
