Date,Won,Crimes
2012-01-08,0,276
2012-01-09,0,315
2012-01-10,0,275
2012-01-11,1,315
2012-01-12,1,250
2012-02-08,0,233
2012-02-09,0,252
2012-02-10,0,251
2012-02-11,1,240
2012-02-12,1,218
2012-03-08,0,267
2012-03-09,0,191
2012-03-10,0,279
2012-03-11,1,223
2012-03-12,1,236
2012-04-08,0,255
2012-04-09,1,273
2012-04-10,1,255
2012-04-11,1,226
2012-04-12,1,230
2012-05-08,1,218
2012-05-09,0,238
2012-05-10,1,301
2012-05-11,1,210
2012-05-12,1,229
2012-06-08,1,226
2012-06-09,1,244
2012-06-10,1,268
2012-06-11,1,184
2012-06-12,1,217
2012-07-08,0,251
2012-07-09,0,302
2012-07-10,1,228
2012-07-11,1,236
2012-07-12,1,266
2012-07-13,1,274
2012-07-14,0,224
2012-07-15,1,246
2012-07-16,1,254
2012-07-17,0,284
2012-07-18,1,235
2012-07-19,0,275
2012-07-20,0,313
2012-07-21,0,273
2012-07-22,0,223
2012-07-23,0,261
2012-07-24,1,241
2012-07-25,0,261
2012-07-26,1,278
2012-07-27,0,274
2012-07-28,1,266
2012-07-29,1,214
2012-07-30,1,262
2012-07-31,1,228
2012-08-07,0,182
2012-08-08,0,263
2012-08-09,0,257
2012-08-10,1,198
2012-08-11,1,211
2012-08-12,1,243
2012-08-13,1,256
2012-08-14,0,272
2012-08-15,0,277
2012-08-16,1,260
2012-08-17,0,276
2012-08-18,1,244
2012-08-19,0,244
2012-08-20,1,248
2012-08-21,0,270
2012-08-22,0,237
2012-08-23,0,250
2012-08-24,1,272
2012-08-25,0,252
2012-08-26,1,249
2012-08-27,1,245
2012-08-28,0,275
2012-08-29,0,263
2012-08-30,0,282
2012-08-31,0,276
2012-09-07,1,295
2012-09-08,0,280
2012-09-09,0,224
2012-09-10,1,240
2012-09-11,1,283
2012-09-12,1,212
2012-09-13,0,272
2012-09-14,1,299
2012-09-15,1,267
2012-09-16,0,221
2012-09-17,1,262
2012-09-18,1,277
2012-09-19,0,233
2012-09-20,0,241
2012-09-21,0,311
2012-09-22,0,275
2012-09-23,1,228
2012-09-24,1,261
2012-09-25,0,286
2012-09-26,0,274
2012-09-27,1,257
2012-09-28,0,283
2012-09-29,0,242
2012-09-30,0,226
2012-10-07,1,267
2012-10-08,1,243
2012-10-09,1,269
2012-10-10,1,246
2012-10-11,1,249
2012-10-12,1,255
2012-10-13,1,222
2012-10-14,1,193
2012-10-15,1,259
2012-10-16,1,252
2012-10-17,1,215
2012-10-18,1,247
2012-10-19,1,330
2012-10-20,1,256
2012-10-21,1,261
2012-10-22,1,222
2012-10-23,1,247
2012-10-24,1,265
2012-10-25,1,251
2012-10-26,1,252
2012-10-27,1,245
2012-10-28,1,218
2012-10-29,1,178
2012-10-30,1,216
2012-10-31,1,246
2012-11-07,1,250
2012-11-08,0,273
2012-11-09,0,266
2012-11-10,1,239
2012-11-11,1,210
2012-11-12,1,220
2012-11-13,1,229
2012-11-14,1,209
2012-11-15,1,237
2012-11-16,1,243
2012-11-17,1,235
2012-11-18,1,213
2012-11-19,1,234
2012-11-20,1,247
2012-11-21,1,253
2012-11-22,1,121
2012-11-23,1,201
2012-11-24,1,222
2012-11-25,1,189
2012-11-26,1,217
2012-11-27,1,233
2012-11-28,1,200
2012-11-29,1,232
2012-11-30,1,242
2012-12-07,1,259
2012-12-08,1,224
2012-12-09,0,272
2012-12-10,1,254
2012-12-11,1,228
2012-12-12,1,230
2012-12-13,1,273
2012-12-14,1,284
2012-12-15,1,250
2012-12-16,1,216
2012-12-17,1,222
2012-12-18,1,231
2012-12-19,1,237
2012-12-20,1,220
2012-12-21,1,255
2012-12-22,1,216
2012-12-23,1,189
2012-12-24,1,179
2012-12-25,1,122
2012-12-26,1,173
2012-12-27,1,165
2012-12-28,1,250
2012-12-29,1,215
2012-12-30,1,166
2012-12-31,1,222
2013-01-01,1,277
2013-01-02,1,288
2013-01-03,1,273
2013-01-04,1,284
2013-01-05,1,324
2013-01-06,1,283
2013-01-07,1,267
2013-01-08,0,274
2013-01-09,1,295
2013-01-10,1,274
2013-01-11,1,301
2013-01-12,1,218
2013-01-13,1,197
2013-01-14,1,253
2013-01-15,1,225
2013-01-16,1,205
2013-01-17,1,259
2013-01-18,1,254
2013-01-19,1,242
2013-01-20,1,194
2013-01-21,1,169
2013-01-22,1,216
2013-01-23,1,189
2013-01-24,1,230
2013-01-25,1,249
2013-01-26,1,210
2013-01-27,1,188
2013-01-28,1,238
2013-01-29,1,244
2013-01-30,1,241
2013-01-31,1,272
2013-02-01,1,210
2013-02-02,1,247
2013-02-03,1,228
2013-02-04,1,247
2013-02-05,1,242
2013-02-06,1,259
2013-02-07,1,261
2013-02-08,0,268
2013-02-09,0,207
2013-02-10,1,222
2013-02-11,1,264
2013-02-12,1,220
2013-02-13,1,248
2013-02-14,1,209
2013-02-15,1,262
2013-02-16,1,230
2013-02-17,1,158
2013-02-18,1,163
2013-02-19,1,199
2013-02-20,1,187
2013-02-21,1,188
2013-02-22,1,225
2013-02-23,1,245
2013-02-24,1,179
2013-02-25,1,229
2013-02-26,1,214
2013-02-27,1,203
2013-02-28,1,246
2013-03-01,1,218
2013-03-02,1,170
2013-03-03,1,184
2013-03-04,1,249
2013-03-05,0,281
2013-03-06,1,263
2013-03-07,0,268
2013-03-08,1,278
2013-03-09,1,237
2013-03-10,1,259
2013-03-11,1,242
2013-03-12,1,220
2013-03-13,1,251
2013-03-14,1,232
2013-03-15,1,286
2013-03-16,1,238
2013-03-17,1,283
2013-03-18,1,244
2013-03-19,1,169
2013-03-20,1,221
2013-03-21,1,222
2013-03-22,1,215
2013-03-23,1,242
2013-03-24,1,204
2013-03-25,1,241
2013-03-26,1,218
2013-03-27,1,269
2013-03-28,1,284
2013-03-29,1,226
2013-03-30,1,249
2013-03-31,1,182
2013-04-01,1,275
2013-04-02,1,243
2013-04-03,1,220
2013-04-04,0,260
2013-04-05,0,238
2013-04-06,1,273
2013-04-07,1,273
2013-04-08,1,248
2013-04-09,1,259
2013-04-10,1,266
2013-04-11,1,206
2013-04-12,1,231
2013-04-13,0,260
2013-04-14,1,190
2013-04-15,0,347
2013-04-16,1,208
2013-04-17,1,193
2013-04-18,1,211
2013-04-19,1,175
2013-04-20,1,224
2013-04-21,1,189
2013-04-22,1,195
2013-04-23,0,186
2013-04-24,1,213
2013-04-25,1,245
2013-04-26,1,253
2013-04-27,1,244
2013-04-28,1,239
2013-04-29,1,264
2013-04-30,0,220
2013-05-01,1,192
2013-05-02,1,211
2013-05-03,1,218
2013-05-04,1,251
2013-05-05,0,226
2013-05-06,0,263
2013-05-07,1,286
2013-05-08,0,241
2013-05-09,1,245
2013-05-10,1,249
2013-05-11,1,227
2013-05-12,1,261
2013-05-13,1,299
2013-05-14,0,244
2013-05-15,1,236
2013-05-16,1,270
2013-05-17,1,293
2013-05-18,1,251
2013-05-19,1,222
2013-05-20,0,254
2013-05-21,0,241
2013-05-22,1,254
2013-05-23,0,274
2013-05-24,1,273
2013-05-25,1,196
2013-05-26,0,213
2013-05-27,1,211
2013-05-28,0,273
2013-05-29,0,204
2013-05-30,1,249
2013-05-31,0,262
2013-06-01,1,183
2013-06-02,1,212
2013-06-03,1,197
2013-06-04,0,244
2013-06-05,0,243
2013-06-06,0,269
2013-06-07,0,242
2013-06-08,1,279
2013-06-09,1,244
2013-06-10,1,217
2013-06-11,1,228
2013-06-12,1,245
2013-06-13,0,264
2013-06-14,0,256
2013-06-15,1,267
2013-06-16,0,230
2013-06-17,1,284
2013-06-18,1,268
2013-06-19,0,251
2013-06-20,0,259
2013-06-21,1,300
2013-06-22,0,269
2013-06-23,0,237
2013-06-24,1,270
2013-06-25,1,236
2013-06-26,1,270
2013-06-27,1,208
2013-06-28,1,259
2013-06-29,0,259
2013-06-30,0,247
2013-07-01,1,224
2013-07-02,1,235
2013-07-03,1,208
2013-07-04,1,220
2013-07-05,0,265
2013-07-06,1,238
2013-07-07,0,224
2013-07-08,1,246
2013-07-09,1,281
2013-07-10,1,235
2013-07-11,1,234
2013-07-12,1,227
2013-07-13,0,269
2013-07-14,0,239
2013-07-15,1,306
2013-07-16,1,235
2013-07-17,1,230
2013-07-18,1,280
2013-07-19,1,250
2013-07-20,0,266
2013-07-21,0,279
2013-07-22,0,273
2013-07-23,1,241
2013-07-24,0,273
2013-07-25,1,258
2013-07-26,0,269
2013-07-27,1,261
2013-07-28,1,242
2013-07-29,0,258
2013-07-30,1,281
2013-07-31,0,300
2013-08-01,1,227
2013-08-02,1,188
2013-08-03,1,239
2013-08-04,1,267
2013-08-05,0,227
2013-08-06,1,235
2013-08-07,0,254
2013-08-08,0,235
2013-08-09,0,249
2013-08-10,1,280
2013-08-11,1,277
2013-08-12,1,210
2013-08-13,1,241
2013-08-14,0,262
2013-08-15,0,264
2013-08-16,0,278
2013-08-17,1,261
2013-08-18,0,226
2013-08-19,1,245
2013-08-20,0,272
2013-08-21,1,272
2013-08-22,1,241
2013-08-23,0,281
2013-08-24,1,272
2013-08-25,1,236
2013-08-26,1,251
2013-08-27,1,255
2013-08-28,1,272
2013-08-29,0,238
2013-08-30,1,274
2013-08-31,1,235
2013-09-01,1,231
2013-09-02,1,123
2013-09-03,1,230
2013-09-04,1,234
2013-09-05,0,241
2013-09-06,1,240
2013-09-07,1,242
2013-09-08,0,268
2013-09-09,1,260
2013-09-10,1,225
2013-09-11,1,229
2013-09-12,1,207
2013-09-13,1,267
2013-09-14,1,271
2013-09-15,1,244
2013-09-16,1,233
2013-09-17,0,255
2013-09-18,0,264
2013-09-19,1,251
2013-09-20,1,327
2013-09-21,0,284
2013-09-22,1,251
2013-09-23,1,247
2013-09-24,0,211
2013-09-25,1,274
2013-09-26,1,255
2013-09-27,1,278
2013-09-28,0,273
2013-09-29,0,217
2013-09-30,1,239
2013-10-01,1,230
2013-10-02,1,200
2013-10-03,1,175
2013-10-04,0,214
2013-10-05,1,273
2013-10-06,1,250
2013-10-07,1,269
2013-10-08,1,257
2013-10-09,1,245
2013-10-10,1,247
2013-10-11,1,204
2013-10-12,1,204
2013-10-13,1,194
2013-10-14,1,216
2013-10-15,1,255
2013-10-16,1,228
2013-10-17,1,244
2013-10-18,1,250
2013-10-19,1,225
2013-10-20,1,227
2013-10-21,1,248
2013-10-22,1,248
2013-10-23,1,208
2013-10-24,1,232
2013-10-25,1,225
2013-10-26,1,243
2013-10-27,1,181
2013-10-28,1,247
2013-10-29,1,219
2013-10-30,1,229
2013-10-31,1,292
2013-11-01,1,245
2013-11-02,1,241
2013-11-03,1,220
2013-11-04,0,224
2013-11-05,0,235
2013-11-06,0,208
2013-11-07,1,263
2013-11-08,0,230
2013-11-09,1,278
2013-11-10,1,237
2013-11-11,1,200
2013-11-12,1,234
2013-11-13,1,212
2013-11-14,1,240
2013-11-15,1,349
2013-11-16,1,232
2013-11-17,1,206
2013-11-18,1,242
2013-11-19,1,209
2013-11-20,1,227
2013-11-21,1,233
2013-11-22,1,248
2013-11-23,1,233
2013-11-24,1,192
2013-11-25,1,229
2013-11-26,1,204
2013-11-27,1,246
2013-11-28,1,117
2013-11-29,1,198
2013-11-30,1,204
2013-12-01,1,215
2013-12-02,1,208
2013-12-03,1,220
2013-12-04,1,238
2013-12-05,0,196
2013-12-06,1,239
2013-12-07,1,308
2013-12-08,1,262
2013-12-09,0,254
2013-12-10,1,242
2013-12-11,1,217
2013-12-12,1,208
2013-12-13,1,251
2013-12-14,1,205
2013-12-15,1,174
2013-12-16,1,206
2013-12-17,1,209
2013-12-18,1,204
2013-12-19,1,248
2013-12-20,1,290
2013-12-21,1,265
2013-12-22,1,178
2013-12-23,1,197
2013-12-24,1,177
2013-12-25,1,126
2013-12-26,1,149
2013-12-27,1,217
2013-12-28,1,212
2013-12-29,1,174
2013-12-30,1,219
2013-12-31,1,235
2014-01-01,1,255
2014-01-02,1,263
2014-01-03,1,258
2014-01-04,1,245
2014-01-05,1,275
2014-01-06,1,250
2014-01-07,0,289
2014-01-08,1,306
2014-01-09,0,288
2014-01-10,1,237
2014-01-11,1,283
2014-01-12,1,257
2014-01-13,1,261
2014-01-14,1,227
2014-01-15,1,248
2014-01-16,1,246
2014-01-17,1,285
2014-01-18,1,249
2014-01-19,1,177
2014-01-20,1,213
2014-01-21,1,265
2014-01-22,1,217
2014-01-23,1,230
2014-01-24,1,258
2014-01-25,1,224
2014-01-26,1,211
2014-01-27,1,238
2014-01-28,1,215
2014-01-29,1,205
2014-01-30,1,237
