Date,Won,Crimes
2012-01-12,0,250
2012-02-11,0,240
2012-03-11,1,223
2012-05-12,1,229
2012-07-11,1,236
2012-07-12,0,266
2012-08-12,1,243
2012-09-11,0,283
2012-10-11,1,249
2012-10-30,0,216
2012-11-14,1,209
2012-11-15,0,237
2012-11-17,1,235
2012-11-18,0,213
2012-11-21,0,253
2012-11-23,1,201
2012-11-25,1,189
2012-11-28,0,200
2012-11-30,1,242
2012-12-11,1,228
2012-12-12,1,230
2012-12-14,0,284
2012-12-15,0,250
2012-12-18,0,231
2012-12-19,1,237
2012-12-21,0,255
2012-12-25,1,122
2012-12-27,0,165
2012-12-29,0,215
2012-12-30,0,166
2013-01-02,1,288
2013-01-03,1,273
2013-01-04,0,284
2013-01-05,1,324
2013-01-11,0,301
2013-01-14,1,253
2013-01-16,0,205
2013-01-18,0,254
2013-01-20,0,194
2013-01-22,0,216
2013-01-24,0,230
2013-01-25,0,249
2013-01-27,1,188
2013-01-30,1,241
2013-02-01,0,210
2013-02-13,1,248
2013-02-19,0,199
2013-02-20,0,187
2013-02-22,1,225
2013-02-24,0,179
2013-02-25,1,229
2013-03-02,1,170
2013-03-04,1,249
2013-03-05,0,281
2013-03-11,0,242
2013-03-12,1,220
2013-03-13,1,251
2013-03-16,1,238
2013-03-18,0,244
2013-03-20,0,221
2013-03-22,0,215
2013-03-23,0,242
2013-03-26,0,218
2013-03-27,1,269
2013-03-29,1,226
2013-03-31,0,182
2013-04-01,1,275
2013-04-11,0,206
2013-04-13,1,260
2013-04-17,0,193
2013-04-20,0,224
2013-04-23,0,186
2013-04-26,0,253
2013-04-28,1,239
2013-05-01,1,192
2013-05-03,1,218
2013-05-04,0,251
2013-06-02,1,212
2013-06-03,1,197
2013-06-11,1,228
2013-06-12,1,245
2013-07-01,1,224
2013-07-02,1,235
2013-07-04,1,220
2013-08-03,1,239
2013-08-11,1,277
2013-08-12,1,210
2013-09-01,1,231
2013-09-11,1,229
2013-10-02,1,200
2013-10-03,0,175
2013-10-04,0,214
2013-10-12,0,204
2013-10-30,0,229
2013-11-01,1,245
2013-11-02,0,241
2013-11-11,1,200
2013-11-12,0,234
2013-11-13,0,212
2013-11-15,0,349
2013-11-16,0,232
2013-11-19,0,209
2013-11-20,0,227
2013-11-22,0,248
2013-11-23,1,233
2013-11-25,1,229
2013-11-27,0,246
2013-11-29,1,198
2013-11-30,0,204
2013-12-03,0,220
2013-12-04,0,238
2013-12-13,1,251
2013-12-16,1,206
2013-12-18,0,204
2013-12-21,0,265
2013-12-22,0,178
2013-12-28,1,212
2013-12-31,0,235
2014-01-03,0,258
2014-01-11,0,283
2014-01-13,0,261
2014-01-15,1,248
2014-01-17,0,285
2014-01-19,0,177
2014-01-21,0,265
2014-01-22,1,217
2014-01-24,0,258
2014-01-26,0,211
2014-01-28,0,215
2014-01-29,0,205
2014-02-01,0,215
2014-02-02,1,186
2014-02-04,0,235
2014-02-12,0,223
