Date,Won,Crimes
2013-01-05,1,324
2013-01-06,1,283
2013-01-19,1,242
2013-01-21,1,169
2013-01-23,0,189
2013-01-25,1,249
2013-01-28,1,238
2013-01-29,1,244
2013-01-31,0,272
2013-02-02,1,247
2013-02-03,1,228
2013-02-04,1,247
2013-02-11,0,264
2013-02-15,0,262
2013-02-17,1,158
2013-02-21,1,188
2013-02-24,1,179
2013-02-26,1,214
2013-02-28,1,246
2013-03-03,0,184
2013-03-06,1,263
2013-03-10,1,259
2013-03-14,1,232
2013-03-16,1,238
2013-03-17,0,283
2013-03-19,0,169
2013-03-21,1,222
2013-03-23,0,242
2013-03-25,1,241
2013-03-27,0,269
2013-03-30,0,249
2013-03-31,1,182
2013-04-04,1,260
2013-04-05,0,238
2013-04-13,0,260
2013-04-17,0,193
2013-04-20,0,224
2013-04-21,1,189
2013-04-23,0,186
2013-04-25,1,245
2013-04-27,0,244
2013-04-28,0,239
2013-05-03,0,218
2013-05-06,1,263
2013-05-10,1,249
2013-05-11,0,227
2013-05-12,0,261
2013-05-13,1,299
2013-05-16,1,270
2013-05-19,1,222
2013-05-21,1,241
2013-05-23,0,274
2013-05-25,1,196
2013-06-02,1,212
2013-06-04,0,244
2013-06-05,1,243
2013-06-15,1,267
2013-06-17,1,284
2013-06-19,0,251
2013-06-22,0,269
2013-06-24,0,270
2013-07-03,1,208
2013-07-06,1,238
2013-07-11,1,234
2013-07-12,1,227
2013-08-04,1,267
2013-08-05,1,227
2013-08-12,1,210
2013-09-03,1,230
2013-09-11,1,229
2013-10-02,1,200
2013-10-04,1,214
2013-10-05,0,273
2013-10-10,0,247
2013-10-12,1,204
2013-10-14,0,216
2013-10-17,1,244
2013-10-19,1,225
2013-10-23,1,208
2013-10-24,1,232
2013-10-26,0,243
2013-10-30,0,229
2013-10-31,1,292
2013-11-03,1,220
2013-11-04,0,224
2013-11-11,1,200
2013-11-14,1,240
2013-11-15,0,349
2013-11-18,1,242
2013-11-19,1,209
2013-11-21,0,233
2013-11-23,1,233
2013-11-25,1,229
2013-11-27,0,246
2013-11-29,1,198
2013-11-30,1,204
2013-12-02,0,208
2013-12-03,0,220
2013-12-05,0,196
2013-12-06,0,239
2013-12-10,1,242
2013-12-12,1,208
2013-12-14,0,205
2013-12-17,1,209
2013-12-19,0,248
2013-12-21,1,265
2013-12-23,1,197
2013-12-27,1,217
2013-12-28,0,212
2013-12-31,0,235
2014-01-02,1,263
2014-01-03,0,258
2014-01-05,0,275
2014-01-11,1,283
2014-01-12,0,257
2014-01-14,0,227
2014-01-16,1,246
2014-01-19,0,177
2014-01-20,1,213
2014-01-25,1,224
2014-01-27,1,238
2014-01-28,1,215
2014-01-30,0,237
2014-02-01,1,215
2014-02-03,1,169
2014-02-04,0,235
2014-02-12,0,223
2014-02-26,0,216
2014-03-04,0,253
2014-03-05,1,220
2014-03-13,1,229
2014-03-15,1,238
2014-03-17,1,218
2014-03-18,1,225
2014-03-21,1,272
2014-03-22,1,235
2014-03-24,0,258
2014-03-27,1,271
2014-03-29,1,216
2014-03-30,1,204
2014-04-01,1,223
2014-04-02,1,228
2014-04-03,1,217
2014-04-11,1,246
2014-04-12,0,224
2014-04-13,0,219
2014-04-18,0,270
2014-04-20,1,191
2014-04-22,1,221
2014-04-24,1,254
2014-04-26,1,235
2014-05-04,1,205
2014-05-14,0,281
2014-06-02,0,230
2014-06-03,1,257
2014-06-05,0,259
2014-06-11,1,226
2014-06-12,1,221
2014-07-01,0,242
2014-08-02,1,217
2014-08-03,1,204
2014-08-04,0,252
2014-08-05,1,249
2014-08-10,1,248
2014-09-01,0,223
2014-09-03,1,184
2014-09-10,0,269
2014-10-04,0,241
2014-10-05,1,244
2014-10-11,1,229
2014-10-13,0,245
2014-10-15,1,265
2014-10-16,0,236
2014-10-18,1,305
2014-10-21,1,261
2014-10-23,0,221
2014-10-25,1,264
2014-10-28,0,249
2014-10-30,1,251
2014-11-01,1,225
2014-11-10,0,244
2014-11-12,0,241
2014-11-13,0,213
2014-11-15,1,237
2014-11-18,1,238
2014-11-21,1,260
2014-11-22,0,235
2014-11-24,0,219
2014-11-28,1,213
2014-12-03,1,253
2014-12-04,1,241
2014-12-05,0,307
2014-12-11,0,248
2014-12-13,0,240
2014-12-16,0,249
2014-12-17,1,235
2014-12-19,0,246
2014-12-21,1,173
2014-12-23,1,221
2014-12-27,0,209
2014-12-29,1,210
2014-12-31,0,246
2015-01-13,1,189
2015-01-15,1,267
2015-01-17,0,216
2015-01-20,1,208
2015-01-21,0,239
2015-01-29,1,220
2015-01-31,1,184
2015-02-04,1,222
2015-02-12,0,287
2015-02-13,0,251
2015-02-16,0,218
2015-02-18,0,214
2015-02-20,0,241
2015-02-22,1,239
2015-02-24,0,234
2015-02-27,1,250
2015-02-28,1,241
2015-03-01,0,179
2015-03-11,0,313
2015-03-14,1,211
2015-03-15,0,252
2015-03-17,0,246
2015-03-19,0,197
2015-03-21,0,215
2015-03-22,0,188
2015-03-26,0,239
2015-03-28,1,231
2015-03-29,1,197
2015-03-31,1,221
2015-04-01,0,154
2015-04-02,0,254
2015-04-04,1,222
2015-04-12,0,316
2015-05-03,0,226
2015-05-11,0,252
2015-05-12,1,235
2015-07-01,1,222
2015-07-02,1,242
2015-07-03,1,215
2015-07-11,0,275
2015-07-12,0,304
2015-08-01,1,203
2015-08-02,0,220
2015-08-03,1,184
2015-08-04,0,201
2015-08-10,0,288
2015-08-11,1,245
2015-09-04,0,197
2015-09-12,1,288
2015-10-01,1,196
2015-10-02,0,217
2015-10-03,1,240
2015-10-10,0,258
2015-10-14,1,294
2015-10-17,1,246
2015-10-21,0,287
2015-10-23,1,318
2015-10-27,1,269
2015-10-30,1,275
2015-10-31,1,306
2015-11-04,0,226
2015-11-14,1,283
2015-11-17,0,276
2015-11-19,1,287
2015-11-21,1,256
2015-11-23,1,269
2015-11-25,1,282
2015-11-27,1,243
2015-12-03,1,219
2015-12-10,0,232
2015-12-11,0,294
2015-12-12,1,276
2015-12-14,0,270
2015-12-16,1,253
2015-12-18,1,307
2015-12-20,1,244
2015-12-22,0,280
2015-12-26,0,189
2015-12-27,0,215
2015-12-29,1,206
2016-01-01,0,359
2016-01-03,1,277
2016-01-04,1,353
