Date,Won,Crimes
2012-02-12,1,218
2012-07-10,1,228
2012-09-09,1,224
2012-09-16,0,221
2012-09-23,0,228
2012-09-30,1,226
2012-10-12,1,255
2012-10-14,0,193
2012-10-21,1,261
2012-10-28,1,218
2012-11-11,1,210
2012-11-18,1,213
2012-11-22,1,121
2012-12-16,0,216
2012-12-23,1,189
2012-12-30,1,166
2013-01-12,1,218
2013-01-13,1,197
2013-01-20,0,194
2013-03-11,1,242
2013-06-10,0,217
2013-08-09,1,249
2013-08-12,1,210
2013-09-22,1,251
2013-09-29,1,217
2013-10-13,1,194
2013-10-20,0,227
2013-10-27,1,181
2013-11-18,0,242
2013-11-24,1,192
2013-12-09,1,254
2013-12-15,0,174
2013-12-22,1,178
2013-12-29,1,174
2014-01-19,0,177
2014-02-11,1,179
2014-05-10,1,206
2014-07-09,0,244
2014-07-12,1,180
2014-09-14,1,225
2014-09-21,1,215
2014-09-29,0,216
2014-10-16,1,236
2014-10-26,1,228
2014-11-01,1,225
2014-11-16,1,199
2014-11-23,1,220
2014-11-30,0,201
2014-12-10,1,200
2014-12-14,1,201
2014-12-21,1,173
2014-12-28,0,206
2015-01-02,1,220
2015-01-18,1,219
2015-06-12,0,260
2015-08-11,1,245
2015-09-20,1,269
2015-09-27,1,261
2015-10-01,1,196
2015-10-09,1,281
2015-10-18,1,211
2015-10-25,1,225
2015-10-29,1,238
2015-11-10,1,260
2015-11-15,1,231
2015-11-23,1,269
2015-11-29,0,190
2015-12-13,1,211
2015-12-20,1,244
2015-12-27,0,215
2016-01-16,1,238
2016-01-24,0,197
2016-02-10,0,252
2016-03-01,0,193
2016-04-12,1,262
2016-09-10,1,229
2016-09-18,1,272
2016-09-22,1,287
2016-10-16,1,240
2016-10-23,1,259
2016-10-30,1,239
2016-11-09,1,265
2016-11-13,0,205
2016-11-20,1,258
2016-11-27,1,213
2016-12-12,1,261
2016-12-18,1,252
2016-12-24,1,195
2017-01-01,1,288
2017-01-10,0,322
2017-01-14,1,247
2017-01-22,1,237
2017-03-12,1,248
2017-05-02,1,212
2017-05-10,1,296
2017-07-09,0,324
2017-09-17,1,289
2017-09-24,1,295
2017-10-15,1,268
2017-10-22,1,249
2017-10-29,1,262
2017-11-12,0,226
2017-11-19,1,246
2017-11-26,1,208
2017-12-11,1,201
2017-12-17,1,220
2017-12-24,1,205
2017-12-31,1,227
2018-01-13,1,290
2018-01-21,1,223
2018-02-12,1,218
2018-04-02,0,216
2018-04-10,1,265
2018-04-11,1,228
2018-09-09,1,225
2018-09-12,0,249
2018-09-16,0,279
2018-09-23,0,261
2018-09-30,1,252
2018-10-14,1,256
2018-10-21,1,189
2018-10-29,1,251
2018-11-11,0,232
2018-11-25,1,232
2018-12-16,0,284
2018-12-23,1,200
2018-12-30,1,254
